country_id,country_name
1,Republic of Korea
2,Netherlands
3,Mexico
4,Ecuador
5,Belgium
6,Slovenia
7,Hungary
8,Italy
9,Peoples Republic of China
10,Romania
11,Estonia
12,Japan
13,Chinese Taipei
14,France
15,Kazakhstan
16,Kosovo
17,Ukraine
18,Mongolia
19,Islamic Republic of Iran
20,Serbia
21,ROC
22,Switzerland
23,Tunisia
24,Thailand
25,Spain
26,Israel
27,India
28,Indonesia
29,Germany
30,Austria
31,Canada
32,United States of America
33,Georgia
34,Brazil
35,Great Britain
36,Bulgaria
37,Australia
38,Uzbekistan
39,Turkey
40,Colombia
41,Czech Republic
42,Hong Kong
43,Denmark
44,Kuwait
45,Jordan
46,Croatia
47,Egypt
48,Cote d'Ivoire
49,Norway
50,New Zealand
51,Philippines
52,South Africa
53,North Macedonia
54,Cuba
55,Bermuda
56,Turkmenistan
57,Latvia
58,Ireland
59,Poland
60,Fiji
61,Argentina
62,Venezuela
63,Portugal
64,Slovakia
65,San Marino
66,Finland
67,Ethiopia
68,Uganda
69,Azerbaijan
70,Greece
71,Dominican Republic
72,Sweden
73,Jamaica
74,Malaysia
75,Belarus
76,Qatar
77,Armenia
78,Morocco
79,Kenya
80,Puerto Rico
81,Namibia
82,Nigeria
83,Ghana
84,Kyrgyzstan
85,Syrian Arab Republic
86,Bahamas
87,Grenada
88,Burkina Faso
89,Lithuania
90,Botswana
91,Bahrain
92,Republic of Moldova
93,Saudi Arabia
